town,cinema,Aisaksittoo
town,store,Itaohpomoapii
town,nightclub,Itaisimmioapii
town,cafe,Itoiyo’pii
town,house,Naapoiyiss
town,tipi,Niitoiyiss
restaurant,water,Aohkii
restaurant,fish,mamii
restaurant,oranges,aotahkoinammiksi
restaurant,apples,aipasstaamiinammiksi
restaurant,fries,paataakistsi
restaurant,burger,pikkiaaksin
restaurant,dessert,pisatsoyiikan
restaurant,bread,napayin
restaurant,tea,Siksikimmii
restaurant,coffee,Iitapsiksikimmii
home,bathroom,Makapoiyiss
home,kitchen,Itoiyo’soap
home,car,Aiksistomatomahka
home,door,Kitsim
home,elevator,Aisspaohpii
home,window,Ksisstsikomstan
home,dog,Imitaa
family,man,Ninaa
family,woman,Aakii
family,girl,Aakiikoan
family,boy,Saahkomaapi
family,mother,Iksisst
family,father,Inn
greetings,hello,Oki
greetings,hello friend,Oki napi
greetings,how are you,Tsa niita’piiwa
greetings,i'm doing good. you,Tsikohssokopii. Kistoo
greetings,not too bad,Matohkwiikii
greetings,let's go,Okí
greetings,yes,Aa
greetings,no,Saa
speech,yesterday,na
speech,today,Annohk
speech,this morning,Ksisskanaotonni
speech,this evening,na
speech,tomorrow,Aapinakos
speech,i will go,Nitaakitapoo
speech,i will eat,Nitaaksoyi
speech,and,na
speech,please pass the,na
speech,where,na
speech,who,na